"Ensembl","Gene","Gene_type","logFC","rawFC","FoldChange","AveExpr","t","P.Value","adj.P.Val","z.std","Sfari_score","ID_score","moduleColor","moduleLabel"
"ENSG00000100902","PSMA6","protein_coding",0.504262650435369,1.41839823924628,"1.41839823924628",2.90612227511594,5.52364404642393,7.48639123201649e-06,0.0987273530127263,4.47936930251555,NA,NA,"grey","M0"
"ENSG00000229344","MTCO2P12","unprocessed_pseudogene",1.62148886494284,3.07692411812963,"3.07692411812963",1.66305853852296,5.281935772427,1.4289673326491e-05,0.0987273530127263,4.33936235949491,NA,NA,"blue","M10"
"ENSG00000087263","OGFOD1","protein_coding",0.280345644057018,1.214485818731,"1.214485818731",5.72895645446269,4.85703438674776,4.47253961526255e-05,0.137604318903996,4.08160690826522,NA,NA,"purple","M8"
"ENSG00000249119","MTND6P4","processed_pseudogene",1.40738376819862,2.65255702773625,"2.65255702773625",2.82125870932764,4.82172044493081,4.91792128258494e-05,0.137604318903996,4.05949380388483,NA,NA,"blue","M10"
"ENSG00000263142","LRRC37A17P","transcribed_unprocessed_pseudogene",-0.342987312114705,0.7884071077288,"-1.26838024441553",3.47916038213538,-4.78589723677872,5.41503785468893e-05,0.137604318903996,-4.03695097738753,NA,NA,"turquoise","M1"
"ENSG00000173825","TIGD3","protein_coding",-0.635122563248539,0.643886111492245,"-1.55306968445466",1.17601575779247,-4.74928516335856,5.97500299192341e-05,0.137604318903996,-4.01379584742788,NA,NA,"turquoise","M1"
"ENSG00000270133","","lncRNA",-0.873558935541905,0.545798776036183,"-1.83217706580879",-0.772720029788447,-4.39252046010027,0.000155625823366245,0.230776582291387,-3.78191609272974,NA,NA,"turquoise","M1"
"ENSG00000169684","CHRNA5","protein_coding",0.374962576500665,1.29680591507828,"1.29680591507828",2.94814928929803,4.33138805049154,0.000183271194834693,0.230776582291387,3.74102512707805,NA,NA,"yellow","M2"
"ENSG00000184752","NDUFA12","protein_coding",0.25290462236205,1.19160379416035,"1.19160379416035",5.53089788957443,4.29821557387652,0.000200256957698667,0.230776582291387,3.71869211503211,NA,NA,"purple","M8"
"ENSG00000035681","NSMAF","protein_coding",0.206990345696317,1.15427769323391,"1.15427769323391",5.27051124452638,4.24707693501761,0.000229544749777042,0.230776582291387,3.68406379619117,NA,NA,"grey","M0"
"ENSG00000123416","TUBA1B","protein_coding",0.283141338218495,1.21684156455752,"1.21684156455752",8.86700029880773,4.24330556918986,0.000231865419400743,0.230776582291387,3.68150040667542,NA,NA,"grey","M0"
"ENSG00000011143","MKS1","protein_coding",-0.202937674360625,0.8687797163545,"-1.15103976436756",4.76083684021772,-4.24321394845804,0.000231922085218818,0.230776582291387,-3.68143811578428,NA,"known","grey","M0"
"ENSG00000155115","GTF3C6","protein_coding",0.389608394172083,1.31003775832019,"1.31003775832019",6.03455052036008,4.23499175886631,0.000237063573019614,0.230776582291387,3.67584484737223,NA,NA,"blue","M10"
"ENSG00000150281","CTF1","protein_coding",-0.394760698521997,0.76061553032634,"-1.31472466723228",1.21148252535037,-4.20866878844199,0.000254294340561769,0.230776582291387,-3.65789584253981,NA,NA,"turquoise","M1"
