"Ensembl","Gene","Gene_type","logFC","rawFC","FoldChange","AveExpr","t","P.Value","adj.P.Val","z.std","Sfari_score","ID_score","moduleColor","moduleLabel"
"ENSG00000158445","KCNB1","protein_coding",0.757100275349321,1.69009023543742,"1.69009023543742",5.28999719636372,8.81108539805698,9.56782944200642e-08,0.00143766205195589,5.33474618852632,"1","high_candidate","turquoise","M1"
"ENSG00000215933",NA,NA,-2.46441669123711,0.18119101344892,"-5.51903751165845",-2.88747732727841,-7.59300639082971,7.37564981527704e-07,0.00554132570621764,-4.95120199354009,NA,NA,"pink","M16"
"ENSG00000108559","NUP88","protein_coding",-0.25731232403302,0.836645100687942,"-1.19524993235213",5.20567218538189,-7.15945558159399,1.59861307899873e-06,0.00800692004167828,-4.79849624088944,NA,NA,"yellow","M12"
"ENSG00000182512","GLRX5","protein_coding",-0.154537135763086,0.898420569653217,"-1.11306445308347",5.11299491632998,-6.23505920880584,9.05690767814263e-06,0.0340222736929428,-4.4385449369601,NA,NA,"grey","M0"
"ENSG00000075223","SEMA3C","protein_coding",-1.30927832262004,0.403522682736279,"-2.47817543544026",7.25014052201967,-6.03922841003937,1.32743055357711e-05,0.036390216540909,-4.35553375952682,NA,NA,"grey","M0"
"ENSG00000196110","ZNF699","protein_coding",0.304255912663525,1.23478161938008,"1.23478161938008",3.46091328219366,5.95706392662072,1.56075566050826e-05,0.036390216540909,4.31993443379155,NA,NA,"turquoise","M1"
"ENSG00000124140","SLC12A5","protein_coding",0.753690406912052,1.68610035536984,"1.68610035536984",6.10291972521006,5.91528733396492,1.69527163440944e-05,0.036390216540909,4.3016549469446,"2",NA,"turquoise","M1"
"ENSG00000143156","NME7","protein_coding",-0.304990366552012,0.809447621532735,"-1.23541038777338",4.0123020746925,-5.64613485751033,2.90351741540922e-05,0.0382400529454182,-4.18090454576885,NA,NA,"yellow","M12"
"ENSG00000067606","PRKCZ","protein_coding",0.3512551912578,1.27567001874284,"1.27567001874284",4.63443802481792,5.62793615126174,3.01210877123257e-05,0.0382400529454182,4.17254893723586,NA,NA,"turquoise","M1"
"ENSG00000168256","NKIRAS2","protein_coding",-0.113777452609593,0.924165121404079,"-1.0820577154878",6.5252413455078,-5.58779217974867,3.26670588287791e-05,0.0382400529454182,-4.15402981091346,NA,NA,"grey","M0"
"ENSG00000215397","SCRT2","protein_coding",-0.516742553037264,0.698948201150956,"-1.43072118699684",6.23020431289512,-5.52052469984817,3.74416862782028e-05,0.0382400529454182,-4.12272483408756,NA,NA,"pink","M16"
"ENSG00000164398","ACSL6","protein_coding",0.769184300934345,1.70430589735614,"1.70430589735614",4.9203180442001,5.51383382600902,3.79543612139438e-05,0.0382400529454182,4.11959215082539,NA,NA,"tan","M2"
"ENSG00000131165","CHMP1A","protein_coding",0.164247711421075,1.12058160206839,"1.12058160206839",6.78282916161145,5.48371890027302,4.03529185647777e-05,0.0382400529454182,4.10544964327921,"2","known","grey","M0"
"ENSG00000167619","TMEM145","protein_coding",0.372638119310719,1.29471819543631,"1.29471819543631",5.84393871700105,5.47407016923653,4.11539951605237e-05,0.0382400529454182,4.10090361948212,NA,NA,"turquoise","M1"
"ENSG00000154118","JPH3","protein_coding",0.472220180832914,1.38724267079469,"1.38724267079469",6.07340757701234,5.45239803046827,4.30135436175403e-05,0.0382400529454182,4.09066641747647,NA,NA,"turquoise","M1"
"ENSG00000021826","CPS1","protein_coding",0.666606896526519,1.58733528809206,"1.58733528809206",3.2378077375606,5.43834530004556,4.42653458433302e-05,0.0382400529454182,4.08400883914305,NA,"known","grey","M0"
"ENSG00000198467","TPM2","protein_coding",-0.539543738570423,0.687988455367374,"-1.45351276202159",5.91492463619671,-5.40417312722436,4.7468235157332e-05,0.0382400529454182,-4.06775507694658,NA,NA,"pink","M16"
"ENSG00000174460","ZCCHC12","protein_coding",0.352494236486789,1.27676608669022,"1.27676608669022",5.9733218895615,5.39610587568877,4.82585652262396e-05,0.0382400529454182,4.06390455804254,NA,NA,"turquoise","M1"
